"No","Title","Duration","Views","Published","URL"
"43","you’ll outgrow everyone if you watch this","58:25","43K views","6 months ago","https://www.youtube.com/watch?v=RHMsuBQXNEE"
"44","why the smartest people do nothing for hours every day","1:18:03","121K views","7 months ago","https://www.youtube.com/watch?v=WNcfYCLXXD8"
"45","how to create a frequency so powerful it makes reality obey you","48:15","102K views","7 months ago","https://www.youtube.com/watch?v=RJimp7uYTn0"
"46","how to hyperfocus and actually get things done.","54:57","34K views","7 months ago","https://www.youtube.com/watch?v=QjMjwEYVzTA"
"47","give me 29 minutes and i’ll make you dangerously confident (for life)","29:53","184K views","7 months ago","https://www.youtube.com/watch?v=kOmxs_LRuaU"
"48","once you understand this, reality shifts.","42:43","75K views","7 months ago","https://www.youtube.com/watch?v=aflPZg1H1HM"
"49","“shadow flipping” is the fastest way to manifest anything (fast)","25:03","155K views","7 months ago","https://www.youtube.com/watch?v=qo2o6mda3s4"
"50","a full guide to reinvent your life in 6-12 Months (20+ hours)","20:13:41","625K views","8 months ago","https://www.youtube.com/watch?v=fpbpLGQU5cU"
"51","how to actually be disciplined (consistently)","38:13","38K views","8 months ago","https://www.youtube.com/watch?v=LgyBTwV1Ges"
"52","how to achieve anything by being delusional.","45:20","158K views","8 months ago","https://www.youtube.com/watch?v=HOnAb5C6flM"
"53","this is boring but it'll make you dangerously consistent in anything you do.","36:49","324K views","8 months ago","https://www.youtube.com/watch?v=aU3gtV14dL8"
"54","how to rewire your mind to manifest on command","30:51","68K views","8 months ago","https://www.youtube.com/watch?v=d6rmQhWpT8I"
"55","""energy paradox"" is the fastest way to unlimited energy","25:10","30K views","8 months ago","https://www.youtube.com/watch?v=6Z5vjsZzInw"
"56","winter arc: how to change your life in 90 days (ultimate guide)","1:10:12","49K views","8 months ago","https://www.youtube.com/watch?v=4-8wE2R2auc"
"57","how to hack your brain to crave doing hard things","1:14:23","38K views","8 months ago","https://www.youtube.com/watch?v=VZtZ2z8Ub2o"
"58","stop trying to be ""happy"" (do this instead)","42:04","23K views","9 months ago","https://www.youtube.com/watch?v=HK2BjLkEfiU"
"59","you need to be ""dumb"" to succeed.","27:21","86K views","9 months ago","https://www.youtube.com/watch?v=6ns4eaH_Oak"
"60","the graph that changed my life forever","27:06","50K views","9 months ago","https://www.youtube.com/watch?v=9oYv9jq__rg"
"61","how to completely reset your life in 7 days","42:50","69K views","9 months ago","https://www.youtube.com/watch?v=P91ftfVuYFA"
"62","how to be broke, unhealthy, lonely and dumb.","39:34","26K views","9 months ago","https://www.youtube.com/watch?v=nrfNfPLmjO8"
"63","how to use your ""hidden"" skills to become unstoppable","51:39","20K views","9 months ago","https://www.youtube.com/watch?v=GqKgT_AziR8"
"64","how to become unrecognizable in 180 days (full blueprint)","37:32","722K views","10 months ago","https://www.youtube.com/watch?v=zTsnCOH87Cc"
"65","if you master this, money becomes a side effect","31:42","46K views","10 months ago","https://www.youtube.com/watch?v=T_Xupa1D0SQ"
"66","how to lock in with the 3-hour rule","23:55","34K views","10 months ago","https://www.youtube.com/watch?v=hkWJQo1zK0Y"
"67","how to focus for 12+ hours a day (full guide)","37:35","100K views","10 months ago","https://www.youtube.com/watch?v=PKLYYgFQDho"
"68","how to master the law of detachment to achieve anything you want","33:37","109K views","10 months ago","https://www.youtube.com/watch?v=mi5E8hWuWdA"
"69","how to get ahead of 99% of people (in 6-12 months)","27:11","51K views","10 months ago","https://www.youtube.com/watch?v=O4gzW7f34fw"
"70","identity shifting (the cheat code to success)","27:25","280K views","10 months ago","https://www.youtube.com/watch?v=Ktjimrtk9JI"
"71","this is the real reason you can’t stay consistent","21:27","22K views","10 months ago","https://www.youtube.com/watch?v=6_d_4or7_Xc"
"72","how your brain secretly keeps you broke (and how to fix it)","23:51","55K views","10 months ago","https://www.youtube.com/watch?v=qbvTVaVfwM8"
"73","f*ck it, become selfish.","22:46","60K views","11 months ago","https://www.youtube.com/watch?v=QXkXsivqlVQ"
"74","how the smartest 1% hack their brain (steal this)","34:36","40K views","11 months ago","https://www.youtube.com/watch?v=HNbAawefULw"
"75","i stopped feeling lost when i figured this out (how to find your purpose)","52:45","29K views","11 months ago","https://www.youtube.com/watch?v=EkSzieiG4mc"
"76","this is how you actually escape the matrix (a guide)","39:59","52K views","11 months ago","https://www.youtube.com/watch?v=fT-IBHs8NfU"
"77","you’re wasting your potential and you don’t even know it (here’s how to break free)","41:07","31K views","11 months ago","https://www.youtube.com/watch?v=2xBRQeG7hlo"
"78","how to finally stop giving a sh*t what people think (forever)","16:03","24K views","11 months ago","https://www.youtube.com/watch?v=2dhmLw7EOqg"
"79","how to achieve anything by lying to yourself.","42:45","665K views","11 months ago","https://www.youtube.com/watch?v=FsW4hEObAtY"
"80","the playbook for selling what you know online","30:39","4.7K views","11 months ago","https://www.youtube.com/watch?v=VUXYOtkG6TQ"
"81","7 traits you must master to thrive in your 20s","18:30","6.9K views","11 months ago","https://www.youtube.com/watch?v=OE47U7W2K28"
"82","the easiest online business you can start today (explained simply)","6:35","7.2K views","1 year ago","https://www.youtube.com/watch?v=zBqW7RTZxjA"
"83","99% will ignore this... and stay average forever","8:38","4.9K views","1 year ago","https://www.youtube.com/watch?v=6iXFaKJ5EHw"
"84","these 5 decisions quietly change everything","18:14","8.5K views","1 year ago","https://www.youtube.com/watch?v=1Gr7Es5Pbd4"
"85","you’re not depressed, you’re aimless (here’s the fix)","13:23","6.1K views","1 year ago","https://www.youtube.com/watch?v=ZDVk8tBWeFY"
"86","how to completely reinvent yourself.","1:17:18","52K views","1 year ago","https://www.youtube.com/watch?v=44Rlt_lHApU"
"87","I read 1000 books by the age of 25, here are 5 lessons I learned.","15:59","11K views","4 years ago","https://www.youtube.com/watch?v=y8SjbOHgQVM"
